especie_id,nom_ctf,nom_cat,nom_cas,nom_eng,desc_cat,desc_cas,desc_eng,icona,img1,img2,img3,img4,img5
2581,Picconia excelsa,Picònia,Palo blanco,Paloblanco,"Arbust o arbret perenne, originari de les illes Canàries i de Madeira. Floreix del febrer al juliol, amb petites flors de color blanc. Els fruits són drupes semblants a les olives, de color verd al principi i negre violaci quan maduren.","Arbusto o arbolillo perenne, originario de las islas Canarias y de Madeira. Florece de febrero a julio, con pequeñas flores de color blanco. Los frutos son drupas parecidas a las aceitunas, de color verde al principio y negro violáceo cuando maduran.","An evergreen bush or small tree, native to the Canary Islands and Madeira. It blossoms from February to July, with small white flowers. It produces drupes that look like olives, which turn from green to purple-black as they ripen.",arbre.svg,,roy_picconia_excelsa_fu.jpg,roy_picconia_excelsa_fl.jpg,roy_picconia_excelsa_fr.jpg,
5287129,Pistacia chinensis,Pistatxer xinès,Pistachero chino,,,,,arbre.svg,,,,,
4944884,Platanus orientalis,Plàtan d'orient,Plátano de Oriente,Oriental plane,"És un arbre caducifoli, de capçada ovoidal. Originari del sud-est d'Europa i de Turquia. Floreix a mitjan primavera. Els fruits són globosos, de color marronós i apareixen al principi de la tardor i resten a l'arbre durant l'hivern. Es planta a Barcelona en parcs i jardins i com a arbre viari. Recentment s'ha plantat també la cultivar `Cuneata', que es distingeix per un port més arrodonit.","Es un árbol caducifolio, de copa ovoidal. Originario del sureste de Europa y de Turquía. Florece a mediados de primavera. Los frutos son globosos, de color amarronado y aparecen al principio del otoño y permanecen en el árbol durante el invierno. Se planta en Barcelona en parques y jardines y como árbol viario. Recientemente se ha plantado también el cultivar `Cuneata', que se distingue por un porte más redondeado.","This is a deciduous tree with an ovoid crown. It is native to South Eastern Europe and Turkey. It blossoms in mid spring. It produces brown, globular fruit that appear at the beginning of the autumn and remain on the tree all winter. It is planted in parks and gardens and as a street tree in Barcelona. Recently, the 'Cuneata' cultivar has also been planted. It can be distinguished by its more rounded habit.",arbre.svg,roy_platanus_orientalis_ge.jpg,roy_platanus_orientalis_fu.jpg,,roy_platanus_orientalis_fr.jpg,roy_platanus_orientalis_es.jpg
136,Plumeria rubra,Frangipani,Frangipani,Frangipani,"Planta caducifolia, originària de Mèxic, Amèrica Central, Colòmbia i Veneçuela. Té grans fulles verdes. Floreix d'estiu a tardor, amb flors aromàtiques de color rosa, blanc i groc. Els fruits són beines cilíndriques que rarament es troben en el cultiu.","Planta de hoja caduca, nativa de México, América Central, Colombia y Venezuela. Tiene grandes hojas verdes. Florece de verano a otoño, con fragantes flores rosas, blancas y amarillas. Los frutos son vainas cilíndricas que rara vez se encuentran en el cultivo.","This is a deciduous plant, native to Mexico, Central America, Colombia and Venezuela. It has large green leaves. It blooms from summer to autumn, with fragrant pink, white and yellow flowers. The fruits are cylindrical pods that are rarely found in cultivation.",arbre.svg,,,,,
152,Populus nigra 'Italica',Pollancre gavatx,Chopo lombardo,Black poplar  'Italica',"Arbre caducifoli, de capçada ovoidal, originari d'Europa, el nord d'Àfrica i el centre i l'oest d'Àsia. Floreix als mesos de febrer i març, abans que surtin les fulles noves, amb flors menudes i agrupades. Les flors masculines són de color vermellós i les femenines són més primes i de color verdós. Els fruits són càpsules marronoses que maduren entre l'abril i el maig i que disseminen unes llavors envoltades de pèls cotonosos blancs. S'utilitza com a arbre d'ombra en parcs i jardins i com a arbre viari. És millor emprar clons masculins, ja que no fan el molest borrissol. A Barcelona podem trobar la cultivar Populus nigra `Italica', o pollancre gavatx, originada a la Llombardia, que presenta port columnar i no fructifica, ja que és un clon masculí; i la cultivar `Sempervirens', plantada sobretot en parcs i jardins, de forma piramidal i que perd la fulla molt tardanament a l'hivern.","Árbol caducifolio, de copa ovoidal, originario de Europa, el norte de África y el centro y el oeste de Asia. Florece en los meses de febrero y marzo, antes de que broten las hojas nuevas, con flores pequeñas y agrupadas. Las flores masculinas son de color rojizo, y las femeninas, más delgadas y de color verdoso. Los frutos son cápsulas amarronadas que maduran entre abril y mayo y que diseminan unas semillas rodeadas de pelos algodonosos blancos. Se utiliza como árbol de sombra en parques y jardines y como árbol viario. Es mejor utilizar clones masculinos, ya que no producen la molesta pelusa. En Barcelona podemos encontrar el cultivar Populus nigra `Italica', o chopo lombardo, originado en la región italiana, que presenta porte columnar y no fructifica, ya que es un clon masculino; y el cultivar `Sempervirens', plantado sobre todo en parques y jardines, de forma piramidal y que pierde la hoja muy tardíamente en invierno.","This is a deciduous tree with an ovoid crown. It is native to Europe, North Africa and Central and Western Asia. It flowers in February and March, before the new leaves appear, with small, grouped flowers. The male flowers are reddish and the female flowers are smaller and green. It produces brown capsules that ripen between April and May and disseminate seeds covered in white cottony fibres. It is planted as a shade tree in parks and gardens, and as a street tree. It is better to use male clones, as there is no mess from seed fibres. In Barcelona, we have Populus nigra the `Italica' cultivar, or Lombardy poplar, which originated in Lombardy. It has a columnar habit and does not produce fruit, as it is a male clone; and the `Sempervirens' cultivar , mostly planted in parks and gardens, which has a pyramidal shape and loses its leaves very late, in the winter.",arbre.svg,,roy_populus_nigra_fu.jpg,roy_populus_nigra_fl.jpg,roy_populus_nigra_fr.jpg,roy_populus_nigra_es.jpg
174,Prunus cerasus,Guinder,Guindo,Sour cherry,"Arbre petit, caducifoli, originari d'Europa i del sud-oest d'Àsia. Floració entre l'abril i el maig, amb flors blanques agrupades en raïms, que apareixen juntament amb les fulles. Els fruits apareixen al final de l'estiu en forma de cireres de color vermellós a negre i de gust molt àcid.","Árbol pequeño, caducifolio, originario de Europa y del suroeste de Asia. Florece entre abril y mayo, con flores blancas agrupadas en racimos, que aparecen junto con las hojas. Los frutos aparecen a finales de verano en forma de cerezas de color rojizo a negro y de sabor muy ácido.","This small deciduous tree is native to Europe and South Western Asia. It blossoms between April and May, with white flowers grouped in racemes, which appear at the same time as the leaves. The reddish to black cherries appear at the end of the summer; they have a very sharp taste.",arbre.svg,,,,,
5286537,Pterocarya fraxinifolia,Noguera del Caucas,Nogal del Cáucaso,Caucasian walnut,"És un arbre caducifoli, de capçada ovoidal. Originari del Caucas. Floreix a la primavera, amb flors diminutes, de color verdós. Els fruits són d'un color marró clar, maduren a la tardor i romanen a l'arbre fins a l'hivern.","Es un árbol caducifolio, de copa ovoidal. Originario del Cáucaso. Florece en primavera, con flores diminutas, de color verdoso. Los frutos son de un color marrón claro, maduran en otoño y permanecen en el árbol hasta el invierno.","This is a deciduous tree with an ovoid crown. It is native to the Caucasus. It blossoms in spring, with tiny green flowers. It produces light-brown fruit that ripen in the autumn and remain on the tree until winter.",arbre.svg,roy_pterocarya_fraxinifolia_ge.jpg,roy_pterocarya_fraxinifolia_fu.jpg,,roy_pterocarya_fraxinifolia_fr.jpg,roy_pterocarya_fraxinifolia_es.jpg
221,Pyrus calleryana,perera de Callery,peral de Callery,,,,,arbre.svg,,,,,
5073698,Radermachera sinica,Maragder de la Xina,Árbol serpiente,Serpent tree,"Arbre petit, perenne, de capçada piramidal i originari de la Xina. Les flors tenen forma de campana i són de mida gran, de color groc i perfumades. Els fruits són càpsules de color marró que pengen de l'arbre, allargades i retorçades.","Árbol pequeño, perenne, de copa piramidal y originario de China. Las flores tienen forma de campana y son de tamaño grande, de color amarillo y perfumadas. Los frutos son cápsulas de color marrón que cuelgan del árbol, alargadas y retorcidas.","This is a small evergreen tree with a pyramidal crown, native to China. It has large, fragrant yellow flowers that are bell-shaped. It produces elongated and twisted brown seed capsules that hang from the tree.",arbre.svg,roy_radermachera_sinica_ge.jpg,roy_radermachera_sinica_fu.jpg,roy_radermachera_sinica_fl.jpg,roy_radermachera_sinica_fr.jpg,roy_radermachera_sinica_es.jpg
2660,Ruprechtia apetala,Ibiró,Palo de lanza,Chorokete,"Arbust o arbret perennifoli, originari d'Argentina i Bolívia. Les fulles són grans i amples, amb el marge undulat. Floreix del novembre al març, amb flors masculines de color rosa pàl·lid, i les femenines de color vermellós o groguenc. El fruit és un fruit sec, de color castany vermellós. S'utilitza com a planta ornamental per la coloració de la seva floració i del seu fullatge al llarg de l'any.","Arbusto o arbolillo perennifolio, originario de Argentina y Bolivia. Las hojas son grandes y anchas, con el borde ondulado. Florece de noviembre a marzo, con flores masculinas de color rosa pálido y femeninas de color rojizo o amarillento. El fruto es un fruto seco, de color castaño rojizo. Se utiliza como planta ornamental por la coloración de su floración y de su follaje a lo largo del año.","An evergreen shrub or small tree, native to Argentina and Bolivia. It has large, broad leaves with undulating margins. It blossoms from November to March with pale-pink male flowers and yellowish or reddish female flowers. Its fruit is a reddish-brown nut. It is used as an ornamental plant, for the colour of its blossom and its foliage throughout the year.",arbust.svg,,,,,
5069,Schefflera elegantissima,"Dizigoteca, aràlia elegantíssima",Aralia elegantísima,False aralia,"Arbust de fulla perenne o petit arbre, originari de Nova Caledònia. Presenta grans fulles o fullets de color verd fosc. Floreix a la tardor i a l'hivern, amb flors de color groc-verd. Les flors donen pas a fruits negres.","Arbusto de hoja perenne o árbol pequeño, nativo de Nueva Caledonia. Presenta hojas grandes o foliolos de color verde oscuro. Florece en otoño e invierno, con flores de color verde amarillo. Las flores dan paso a un fruto negro.","An evergreen shrub or small tree, native to New Caledonia. It presents large leaves or leaflets dark green colored. It blossoms in fall and winter, with yellow-green flowers. Flowers give way to globose black fruit.",arbust.svg,,,,,
5287054,Schotia afra,,,,,,,arbre.svg,,,,,
5287055,Schotia brachypetala,Noguera africana,Árbol fucsia,,,,,arbre.svg,,,,,
5287178,Tamarix ramosissima 'Pink Cascade',,,,,,,arbust.svg,,,,,
582,Ulmus minor,Om,"Olmo,  olmo común",Smooth-leaved elm,"Arbre caducifoli, de capçada ovoidal, originari d'Europa, el nord-oest d'Àfrica i l'oest d'Àsia. Floreix entre el febrer i l'abril, abans que apareguin les fulles noves, amb flors diminutes amb estams de color porpra, agrupades en glomèruls. Els fruits són sàmares circulars, de color marró clar, amb l'ala verdosa i amb la llavor situada a l'àpex, i maduren entre l'abril i el maig. A Barcelona s'utilitzava com a arbre viari en carrers amples, places, avingudes i carreteres, i com a arbre d'ombra en parcs i grans jardins, com a peus aïllats, formant boscos o en tanques vegetals.  Es planten les cultivars `Umbraculifera', l'om de bola, de port més petit i de capçada arrodonida; `Atinia' (U. procera), l'om anglès, i `Latifolia', de fulles més amples. Totes són sensibles a la grafiosi i, per tant, ara no se solen plantar. Recentment s'està plantant la cultivar Ulmus `Nanguen' Lutèce®, d'origen híbrid múltiple, resistent a la grafiosi.","Árbol caducifolio, de copa ovoidal, originario de Europa, el noroeste de África y el oeste de Asia. Florece entre febrero y abril, antes de que aparezcan las hojas nuevas, con flores diminutas con estambres de color púrpura, agrupadas en glomérulos. Los frutos son sámaras circulares, de color marrón claro, con el ala verdosa y con la semilla situada en el ápice, y maduran entre abril y mayo. En Barcelona se utilizaba como árbol viario en calles anchas, plazas, avenidas y carreteras, y como árbol de sombra en parques y grandes jardines, como pies aislados, formando bosques o en setos vegetales.  Se plantan los cultivares `Umbraculifera', el olmo de bola, de porte más pequeño y de copa redondeada; `Atinia' (U. procera), el olmo inglés; y `Latifolia', de hojas más anchas. Todas son sensibles a la grafiosis y, por lo tanto, ahora no se suelen plantar. Recientemente se está plantando el cultivar Ulmus `Nanguen' Lutèce®, de origen híbrido múltiple, resistente a la grafiosis.","This is a deciduous tree with an ovoid crown. It is native to Europe, North Western Africa and Western Asia. It blossoms from February to April, before its new leaves appear, with tiny purple flowers with stamens, grouped in glomerules. It produces light-brown samaras with green wings and the seed at the apex. They ripen in April and May. In Barcelona, it is planted in wide streets, squares, avenues and roadways; it is used as a shade tree in parks and large gardens as solitary trees, forming copses, as well as in hedges.  Various cultivars are also planted, including: `Umbraculifera', the ball elm, with a smaller habit and rounded crown; `Atinia' (U. procera), the English elm, and `Latifolia', with broader leaves. They are all vulnerable to Dutch Elm Disease, and therefore are not usually planted now. Recently, the cultivar Ulmus `Nanguen' Lutèce® has been planted. This is a multiple hybrid that is resistant to Dutch Elm Disease.",arbre.svg,roy_ulmus_minor_ge.jpg,roy_ulmus_minor_fu.jpg,roy_ulmus_minor_fl.jpg,roy_ulmus_minor_fr.jpg,roy_ulmus_minor_es.jpg
5287056,Xanthostemon chrysanthus,,Penda dorada,,,,,arbre.svg,,,,,
797,Abies alba,Avet,"Abeto blanco,  abeto",European silver fir,"És una conífera perennifòlia, de capçada cònica. Originària del centre i el sud d'Europa. Floreix al final de la primavera, amb flors sense interès. Els cons són pinyes erectes de color marró que maduren a la tardor següent i que finalment es desfan. Necessita humitat ambiental i no tolera gens la sequera estival.","Es una conífera perennifolia, de copa cónica. Originaria del centro y el sur de Europa. Florece al final de la primavera, con flores sin interés. Los conos son piñas erectas de color marrón que maduran al otoño siguiente y que, finalmente, se deshacen. Necesita humedad ambiental y no tolera en absoluto la sequía estival.","This is an evergreen conifer with a conical crown. It is native to Southern and Central Europe. It blossoms at the end of spring, with unremarkable flowers, Its brown erect cones ripen in the autumn and finally disintegrate. It needs humidity and is intolerant of summer droughts.",arbre.svg,roy_abies_alba_ge.jpg,roy_abies_alba_fu.jpg,roy_abies_alba_fl.jpg,roy_abies_alba_fr.jpg,roy_abies_alba_es.jpg
805,Abies pinsapo,"Pinsap, Avet d'Andalusia",Pinsapo,Spanish fir,"Conífera de capçada cònica, originària de les serralades d'Andalusia. Floreix entre l'abril i el maig, amb flors masculines de color rosa i amb flors femenines de color verd clar. Els fruits són pinyes de color verd que, quan maduren entre el setembre i l'octubre, passen a color marró.","Conífera de copa cónica, originaria de las cordilleras de Andalucía. Florece entre abril y mayo, con flores masculinas de color rosa y con flores femeninas de color verde claro. Los frutos son piñas de color verde que, cuando maduran, entre setiembre y octubre, adoptan un color marrón.","Conifer with a conical crown, native to the mountains of Andalusia. It blossoms in April and May, with pink male flowers and light-green female flowers. Its fruit are green pine cones which ripen in September and October, turning brown.",arbre.svg,roy_abies_pinsapo_ge.jpg,roy_abies_pinsapo_fu.jpg,roy_abies_pinsapo_fl.jpg,roy_abies_pinsapo_fr.jpg,roy_abies_pinsapo_es.jpg
803,Abies x masjoannis,Avet de Masjoan,Abeto de Masjoan,Masjoan Spansih fir,"És un arbre perennifoli, de capçada cònica. D'origen híbrid entre Abies alba i A. pinsapo, és típic del massís central del Montseny i es va descobrir als anys cinquanta. Floreix a mitjan primavera, amb unes flors gens vistoses. Les pinyes, que surten al final de la tardor, tenen forma cilíndrica o ovalada i, en arribar a la maduresa, es desfan perquè se n'espargeixin les llavors, però romanen a l'arbre.","Es un árbol perennifolio, de copa cónica. De origen híbrido entre Abies alba y A. pinsapo, es típico del macizo central del Montseny y se descubrió en los años cincuenta. Florece a mediados de primavera, con flores nada vistosas. Las piñas, que salen al final del otoño, tienen forma cilíndrica u ovalada y, al llegar a la madurez, se deshacen para que se esparzan las semillas, pero permanecen en el árbol.","This is an evergreen tree with a conical crown. It is an Abies alba and A. pinsapo hybrid. It is typical of the Montseny central massif and was discovered in the 1950s. It blossoms in mid-spring, with unattractive flowers. The cones, which come out at the end of autumn, are cylindrical or oval and they open when ripe, releasing their seeds, but the cones remain on the tree.",arbre.svg,,,,,
811,Acacia baileyana,Mimosa de Baile,Mimosa de Baile,Cootamundra wattle,"És un arbret perennifoli, de capçada arrodonida. Originari i endèmic d'Austràlia. Floreix a l'hivern durant els mesos de gener i febrer, amb flors d'un to groc cridaner i lleugerament oloroses. Els fruits són uns llegums que apareixen quan acaba la floració i són de color verdós fins que es tornen marrons en madurar. Normalment s'utilitzen per formar masses verdes o en alineacions, tot i que tenen altres usos, com ara la producció d'aliment en apicultura, motiu pel qual poden atraure pol·linitzadors.","Es un arbolito perennifolio, de copa redondeada. Originario y endémico de Australia. Florece en invierno, durante los meses de enero y febrero, con flores de un tono amarillo chillón y ligeramente olorosas. Los frutos son unas legumbres que aparecen cuando termina la floración y son de color verdoso hasta que, al madurar, se vuelven marrones. Normalmente se utilizan para formar masas verdes o en alineaciones, aunque tienen otros usos, como la producción de alimento en apicultura, motivo por el cual pueden atraer polinizadores.","This is a small evergreen tree with a rounded crown. It is native to and endemic in Australia. It blossoms in winter, in January and February, with bright yellow flowers with a slight fragrance. The fruit are green seedpods that appear after flowering, turning brown when ripe. They are usually planted to form green masses or rows, although they have other uses, such as food production in beekeeping, as they can attract pollinators.",arbre.svg,,,,,
2011,Acacia caven,Aromer de Xile,Espino chileno,Roman Cassie,"Arbre petit o arbust, caducifoli, originari d'Argentina. Presenta espines abundants a la base de les fulles, de color blanc i que poden arribar als 2 cm de longitud. Les fulles són de color verd clar. Floreix a la primavera amb flors de color groc brillant, globoses i perfumades. Els fruits són llegums cilíndriques de color negre. S'utilitza com a arbre ornamental per la seva floració. A més, atrau insectes pol·linitzadors.","Árbol pequeño o arbusto, caducifolio, originario de Argentina. Presenta espinas abundantes en la base de las hojas, de color blanco y que pueden llegar a los 2 cm de longitud. Las hojas son de color verde claro. Florece en primavera, con flores de color amarillo brillante, en forma de globo y perfumadas. Los frutos son legumbres cilíndricas de color negro. Se utiliza como árbol ornamental por su floración. Además, atrae insectos polinizadores.","It is a small tree or bush, deciduous, native to Argentina. It has white, 2 cm long spines at the base of the leaves. Leaves are light green. It blossoms in spring with glossy yellow, globe shaped and perfumed flowers. Fruits are black cylindrical seedpods. It is used as an ornamental tree. Its blossom attracts pollinators.",arbre.svg,roy_acacia_caven_ge.jpg,roy_acacia_caven_fu.jpg,roy_acacia_caven_fl.jpg,roy_acacia_caven_fr.jpg,roy_acacia_caven_es.jpg
814,Acacia dealbata,Mimosa comuna,"Mimosa,  mimosa común",Silver wattle,"És un arbre perennifoli, amb capçada arrodonida i lleugerament irregular. Originari del sud-est d'Austràlia. La floració és molt vistosa i es produeix entre el gener i el març, amb unes flors oloroses de color groc intens o groc llimona. Els fruits són llegums de color marronós i maduren a l'estiu. Tot i la dificultat d'arrelament, s'utilitza com a arbre viari i en parcs i jardins.","Es un árbol perennifolio, con copa redondeada y ligeramente irregular. Originario del sureste de Australia. La floración es muy vistosa y se produce entre enero y marzo, con flores olorosas de color amarillo intenso o amarillo limón. Los frutos son legumbres de color amarronado y maduran en verano. Pese a su dificultad de arraigo, se utiliza como árbol viario y en parques y jardines.","This is an evergreen tree with a round, slightly irregular crown. It is native to South Eastern Australia. Its spectacular blossoming occurs between January and March, with fragrant, deep or lemon-yellow flowers, Its fruit are brown seedpods that ripen in the summer. In spite of rooting difficulties, it is planted as a street tree, as well as in parks and gardens.",arbre.svg,roy_acacia_dealbata_ge.jpg,roy_acacia_dealbata_fu.jpg,roy_acacia_dealbata_fl.jpg,roy_acacia_dealbata_fr.jpg,roy_acacia_dealbata_es.jpg
4944524,Acacia kempeana,Mimosa de Kempe,Acacia de Kempe,Wanderrie wattle,"Es tracta d'un arbre de fulla perenne amb corona arrodonida, originària d'Austràlia. Floreix entre gener o abril i setembre, amb flors grogues. El matoll proporciona llavors comestibles.","Este es un árbol de hoja perenne con una corona redondeada, nativo de Australia. Florece entre enero o abril y septiembre, con flores amarillas. El arbusto proporciona semillas comestibles.","This is an evergreen tree with a rounded crown, native to Australia. It blossoms between January or April and September, with yellow flowers. The bush provides edible seeds.",arbre.svg,roy_acacia_kempeana_ge.jpg,roy_acacia_kempeana_fu.jpg,,,roy_acacia_kempeana_es.jpg
